"","x"
"1211","RPS6KA5"
"1212","GPR68"
"1213","PPP4R3A"
"1214","ATXN3"
"1215","CPSF2"
"1216","GOLGA5"
"1217","TMEM251"
"1218","GON7"
"1219","AL110118.2"
"1220","IFI27"
"1221","SERPINA1"
"1222","DICER1"
"1223","SETD3"
"1224","AL157871.2"
"1225","AL157871.4"
"1226","AL157871.3"
"1227","WARS"
"1228","RCOR1"
"1229","AMN"
"1230","TNFAIP2"
"1231","AL049840.1"
"1232","TDRD9"
"1233","RPS2P4"
"1234","WHAMMP3"
"1235","WHAMMP2"
"1236","SCG5"
"1237","GREM1"
"1238","EMC7"
"1239","PGBD4"
"1240","SLC12A6"
"1241","NOP10"
"1242","AC018868.1"
"1243","AC114546.3"
"1244","ZNF770"
"1245","AC116158.1"
"1246","RASGRP1"
"1247","KNSTRN"
"1248","GCHFR"
"1249","DNAJC17"
"1250","CHP1"
"1251","RTF1"
"1252","VPS39"
"1253","AC036103.1"
"1254","TMEM87A"
"1255","HAUS2"
"1256","LCMT2"
"1257","ZSCAN29"
"1258","MFAP1"
"1259","AC025043.1"
"1260","SPG11"
"1261","B2M"
"1262","TRIM69"
"1263","MIR147B"
"1264","AC025580.1"
"1265","C15orf48"
"1266","AC025580.2"
"1267","HMGN2P46"
"1268","AC090527.2"
"1269","SQOR"
"1270","AC084757.1"
"1271","SECISBP2L"
"1272","AC022306.1"
"1273","AC025040.2"
"1274","GABPB1-IT1"
"1275","GABPB1"
"1276","AC084756.1"
"1277","AC012100.2"
"1278","SPPL2A"
"1279","AP4E1"
"1280","GLDN"
"1281","AC066613.1"
"1282","AC066613.2"
"1283","SCG3"
"1284","LYSMD2"
"1285","AC090971.1"
"1286","TMOD3"
"1287","RAB27A"
"1288","PIGB"
"1289","CCPG1"
"1290","DNAAF4-CCPG1"
"1291","POLR2M"
"1292","AQP9"
"1293","ALDH1A2"
"1294","AC018904.1"
"1295","ADAM10"
"1296","MINDY2"
"1297","SLTM"
"1298","RNF111"
"1299","PIGHP1"
"1300","RORA"
"1301","RAB8B"
"1302","CA12"
"1303","USP3"
"1304","USP3-AS1"
"1305","PIF1"
"1306","AC103691.1"
"1307","ANKDD1A"
"1308","UBAP1L"
"1309","PDCD7"
"1310","SLC24A1"
"1311","AC011939.1"
"1312","MAP2K1"
"1313","SNAPC5"
"1314","MAP2K5"
"1315","FEM1B"
"1316","PAQR5"
"1317","AC027237.3"
"1318","TLE3"
"1319","UACA"
"1320","AC104938.1"
"1321","PKM"
"1322","PARP6"
"1323","AC009690.3"
"1324","ADPGK"
"1325","NPTN-IT1"
